HID,M1,M2,HHID,PID,N1,HPID,PIDWON,CH1,CH2_Y,CH2_M,CH2_1,CH3_Y,CH3_M,CH3_1,CH4_Y,CH4_M,CH4_1,CH5_Y,CH5_M,CH6_Y,CH6_M
112001.0,1.0,1.0,112001011.0,1.0,1.0,11200101101.0,11200101.0,0.0,,,,,,,,,,,,,
112002.0,1.0,1.0,112002011.0,1.0,1.0,11200201101.0,11200201.0,0.0,,,,,,,,,,,,,
112002.0,1.0,1.0,112002011.0,2.0,1.0,11200201102.0,11200202.0,0.0,,,,,,,,,,,,,
112003.0,1.0,1.0,112003011.0,1.0,1.0,11200301101.0,11200301.0,0.0,,,,,,,,,,,,,
112003.0,1.0,1.0,112003011.0,2.0,1.0,11200301102.0,11200302.0,0.0,,,,,,,,,,,,,
112003.0,1.0,1.0,112003011.0,3.0,1.0,11200301103.0,11200303.0,0.0,,,,,,,,,,,,,
112003.0,1.0,1.0,112003011.0,4.0,1.0,11200301104.0,11200304.0,0.0,,,,,,,,,,,,,
112010.0,1.0,1.0,112010011.0,1.0,1.0,11201001101.0,11201001.0,0.0,,,,,,,,,,,,,
112010.0,1.0,1.0,112010011.0,2.0,1.0,11201001102.0,11201002.0,0.0,,,,,,,,,,,,,
112012.0,1.0,1.0,112012011.0,1.0,1.0,11201201101.0,11201201.0,21.0,,,,2021.0,1.0,1.0,,,,,,,
112012.0,1.0,1.0,112012011.0,2.0,1.0,11201201102.0,11201202.0,0.0,,,,,,,,,,,,,
112013.0,1.0,1.0,112013011.0,1.0,1.0,11201301101.0,11201301.0,0.0,,,,,,,,,,,,,
112013.0,1.0,1.0,112013011.0,2.0,1.0,11201301102.0,11201302.0,0.0,,,,,,,,,,,,,
112016.0,1.0,1.0,112016011.0,1.0,1.0,11201601101.0,11201601.0,0.0,,,,,,,,,,,,,
112016.0,1.0,1.0,112016011.0,2.0,1.0,11201601102.0,11201602.0,0.0,,,,,,,,,,,,,
112016.0,1.0,1.0,112016011.0,3.0,1.0,11201601103.0,11201603.0,0.0,,,,,,,,,,,,,
112016.0,2.0,1.0,112016021.0,4.0,1.0,11201602104.0,11201604.0,0.0,,,,,,,,,,,,,
112019.0,1.0,1.0,112019011.0,1.0,1.0,11201901101.0,11201901.0,0.0,,,,,,,,,,,,,
112019.0,1.0,1.0,112019011.0,2.0,1.0,11201901102.0,11201902.0,0.0,,,,,,,,,,,,,
112019.0,1.0,1.0,112019011.0,3.0,1.0,11201901103.0,11201903.0,0.0,,,,,,,,,,,,,
112019.0,1.0,1.0,112019011.0,4.0,1.0,11201901104.0,11201904.0,0.0,,,,,,,,,,,,,
112020.0,1.0,1.0,112020011.0,1.0,1.0,11202001101.0,11202001.0,0.0,,,,,,,,,,,,,
112026.0,1.0,1.0,112026011.0,1.0,1.0,11202601101.0,11202601.0,0.0,,,,,,,,,,,,,
112036.0,1.0,1.0,112036011.0,1.0,1.0,11203601101.0,11203601.0,0.0,,,,,,,,,,,,,
112036.0,1.0,1.0,112036011.0,2.0,2.0,11203601102.0,11203602.0,0.0,,,,,,,,,,,,,
112045.0,1.0,1.0,112045011.0,1.0,1.0,11204501101.0,11204501.0,0.0,,,,,,,,,,,,,
112045.0,1.0,1.0,112045011.0,2.0,1.0,11204501102.0,11204502.0,0.0,,,,,,,,,,,,,
112047.0,1.0,1.0,112047011.0,1.0,1.0,11204701101.0,11204701.0,0.0,,,,,,,,,,,,,
112047.0,1.0,1.0,112047011.0,2.0,1.0,11204701102.0,11204702.0,0.0,,,,,,,,,,,,,
112049.0,1.0,1.0,112049011.0,1.0,1.0,11204901101.0,11204901.0,0.0,,,,,,,,,,,,,
112049.0,1.0,1.0,112049011.0,2.0,1.0,11204901102.0,11204902.0,0.0,,,,,,,,,,,,,
112050.0,1.0,1.0,112050011.0,2.0,1.0,11205001102.0,11205002.0,0.0,,,,,,,,,,,,,
112050.0,1.0,1.0,112050011.0,3.0,1.0,11205001103.0,11205003.0,0.0,,,,,,,,,,,,,
112050.0,1.0,1.0,112050011.0,4.0,1.0,11205001104.0,11205004.0,0.0,,,,,,,,,,,,,
112052.0,1.0,1.0,112052011.0,1.0,1.0,11205201101.0,11205201.0,0.0,,,,,,,,,,,,,
112053.0,1.0,1.0,112053011.0,1.0,1.0,11205301101.0,11205301.0,0.0,,,,,,,,,,,,,
112053.0,1.0,1.0,112053011.0,2.0,1.0,11205301102.0,11205302.0,0.0,,,,,,,,,,,,,
112054.0,1.0,1.0,112054011.0,1.0,1.0,11205401101.0,11205401.0,0.0,,,,,,,,,,,,,
112054.0,1.0,1.0,112054011.0,2.0,1.0,11205401102.0,11205402.0,0.0,,,,,,,,,,,,,
112055.0,1.0,1.0,112055011.0,1.0,1.0,11205501101.0,11205501.0,0.0,,,,,,,,,,,,,
112055.0,1.0,1.0,112055011.0,2.0,1.0,11205501102.0,11205502.0,0.0,,,,,,,,,,,,,
112056.0,1.0,1.0,112056011.0,1.0,1.0,11205601101.0,11205601.0,0.0,,,,,,,,,,,,,
112057.0,1.0,1.0,112057011.0,1.0,1.0,11205701101.0,11205701.0,0.0,,,,,,,,,,,,,
112057.0,1.0,1.0,112057011.0,2.0,1.0,11205701102.0,11205702.0,0.0,,,,,,,,,,,,,
112058.0,1.0,1.0,112058011.0,1.0,1.0,11205801101.0,11205801.0,0.0,,,,,,,,,,,,,
112060.0,1.0,1.0,112060011.0,1.0,1.0,11206001101.0,11206001.0,0.0,,,,,,,,,,,,,
112060.0,1.0,1.0,112060011.0,2.0,1.0,11206001102.0,11206002.0,0.0,,,,,,,,,,,,,
112060.0,1.0,1.0,112060011.0,3.0,1.0,11206001103.0,11206003.0,0.0,,,,,,,,,,,,,
112060.0,1.0,1.0,112060011.0,4.0,3.0,11206001104.0,11206004.0,11.0,2021.0,1.0,1.0,,,,,,,,,,
112061.0,1.0,1.0,112061011.0,1.0,1.0,11206101101.0,11206101.0,0.0,,,,,,,,,,,,,
112061.0,1.0,1.0,112061011.0,2.0,1.0,11206101102.0,11206102.0,0.0,,,,,,,,,,,,,
112061.0,1.0,1.0,112061011.0,3.0,1.0,11206101103.0,11206103.0,0.0,,,,,,,,,,,,,
112062.0,1.0,1.0,112062011.0,2.0,1.0,11206201102.0,11206202.0,0.0,,,,,,,,,,,,,
112062.0,1.0,1.0,112062011.0,3.0,1.0,11206201103.0,11206203.0,0.0,,,,,,,,,,,,,
112062.0,1.0,1.0,112062011.0,4.0,1.0,11206201104.0,11206204.0,0.0,,,,,,,,,,,,,
112064.0,1.0,1.0,112064011.0,1.0,1.0,11206401101.0,11206401.0,0.0,,,,,,,,,,,,,
